ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05_cluster	Unassigned_SUP05_cluster
ASV2	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05_cluster	Unassigned_SUP05_cluster
ASV3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05_cluster	Unassigned_SUP05_cluster
ASV4	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Unassigned_Ectothiorhodospiraceae	Unassigned_Ectothiorhodospiraceae
ASV5	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05_cluster	Unassigned_SUP05_cluster
ASV6	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05_cluster	Unassigned_SUP05_cluster
ASV7	Bacteria	SAR324_clade	Unassigned_SAR324_clade	Unassigned_SAR324_clade	Unassigned_SAR324_clade	Unassigned_SAR324_clade	Unassigned_SAR324_clade
ASV8	Bacteria	SAR324_clade	Unassigned_SAR324_clade	Unassigned_SAR324_clade	Unassigned_SAR324_clade	Unassigned_SAR324_clade	Unassigned_SAR324_clade
ASV9	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Unassigned_Arcobacteraceae	Unassigned_Arcobacteraceae
ASV10	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05_cluster	Unassigned_SUP05_cluster
ASV11	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05_cluster	Unassigned_SUP05_cluster
ASV12	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus	Unassigned_Candidatus_Nitrosopumilus
